City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,burang,30.25,81.1667,-11.03,92,96,0.72,CN,1712878227
343,pacific grove,36.6177,-121.9166,25.25,74,0,4.47,US,1712878230
344,tazacorte,28.629,-17.9293,22.54,46,100,4.63,ES,1712878234
345,dudinka,69.4058,86.1778,-29.62,100,84,3.58,RU,1712878237
346,nuuk,64.1835,-51.7216,-2.66,93,100,3.6,GL,1712878168
347,phariha,27.3167,78.4833,27.03,22,86,0.57,IN,1712878244
348,nguigmi,14.2495,13.1092,27.9,14,65,5.47,NE,1712878247
349,makokou,0.5738,12.8642,22.28,98,100,0.36,GA,1712878250
350,arteche,12.2645,125.4048,27.01,84,83,3.21,PH,1712878253
351,palmas,-10.2128,-48.3603,25.93,94,20,1.03,BR,1712878162
352,enriquillo,17.9,-71.2333,28.82,84,2,4.17,DO,1712878260
353,chinde,26.8418,88.0763,17.33,37,9,3.16,NP,1712878174
354,guichon,-32.35,-57.2,14.78,78,27,4.78,UY,1712878266
355,esikhaleni,-28.871,31.8996,17.36,62,59,6.57,ZA,1712878270
356,huanren,41.2647,125.3667,12.44,64,62,3.72,CN,1712878273
357,undurkhaan,47.3194,110.6556,6.34,54,42,3.95,MN,1712878160
358,santa marta,11.2408,-74.199,33.03,52,0,5.14,CO,1712878280
359,azadshahr,34.7909,48.5707,6.27,81,40,4.12,IR,1712878284
360,san juan,-31.5375,-68.5364,13.31,54,33,4.61,AR,1712878129
